"Reference","Value","Footprint","Datasheet","SNAPEDA_PACKAGE_ID","SNAPEDA_PN","STANDARD","Qty"
"A1","Pololu_Breakout_A4988","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2980/pictures","","","","1"
"C1, C4, C5, C9","10uF/25V","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","4"
"C2","1uF/16V","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","","1"
"C3, C6-C8, C10","0u1F/50V","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","","","","5"
"C11","100ÂµF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","","","","1"
"D1","1N5819HW-7-F","MyParts:SOD3715X145N","","","","IPC-7351B","1"
"D2-D4","LESD5D5.0CT1G","MyParts:TVS_LESD5D5.0CT1G","","","","Manufacturer Recommendations","3"
"D5","SK6812MINI","LED_SMD:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","","","","1"
"D6","LED","LED_THT:LED_D3.0mm","~","","","","1"
"D7","Apple Block","MyParts:Outlet Rectifier","~","","","","1"
"J1","TYPE-C-31-M-12","MyParts:HRO_TYPE-C-31-M-12","","","TYPE-C-31-M-12","Manufacturer Recommendations","1"
"J2","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","1"
"Q1, Q2","2N2222","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF","","","","2"
"R1, R2","5k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","2"
"R3","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","1"
"R4","165","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~","","","","1"
"S1","TL3305BF260QG/BOOT","MyParts:SW_TL3305BF260QG","","","TL3305BF260QG","Manufacturer Recommendations","1"
"S2","TL3305BF260QG/RST","MyParts:SW_TL3305BF260QG","","","TL3305BF260QG","Manufacturer Recommendations","1"
"U1","ESP32-S3-WROOM-1-N16R2","MyParts:XCVR_ESP32-S3-WROOM-1-N16R2","","","","Manufacturer Recommendations","1"
"U2","AMS1117-3.3","MyParts:AMS1117-3.3","","71280","AMS1117-3.3","IPC 7351B","1"
"U3","MT3608","MyParts:MT3608 Breakout","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf","","","","1"
"U4, U5","","MyParts:Touch Sensor","","","","","2"
